X,Y,FID,NAME,ADDRESS,GRAGE_PARK,SURF_PARK,ARTENROUTE,JOINT_DEV,LAT,LON,POINT_X,POINT_Y
-8940478.8929,2960119.1879,1,DADELAND SOUTH,9150 DADELAND BLVD,1087,198,1,1,25.685,-80.31369,882187.93756,491790.53122
-8939524.0704,2960976.2664,2,DADELAND NORTH,8300 S DIXIE HWY,1963,0,0,1,25.69194,-80.30511,884999.49986,494327.06264
-8937739.6913,2962594.8066,3,SOUTH MIAMI,5949 SUNSET DR,1774,0,1,1,25.70504,-80.28908,890252.62483,499116.96889
-8936392.3174,2963803.0437,4,UNIVERSITY,5400 PONCE DE LEON BLVD,0,295,1,0,25.71482,-80.27698,894218.68745,502692.96863
-8933931.5052,2966019.2457,5,DOUGLAS ROAD,3060 SW 37TH CT,0,440,1,0,25.73275,-80.25487,901460.37493,509252.28134
-8932148.0948,2966891.881,6,COCONUT GROVE,2780 SW 27TH AVE,0,199,1,0,25.73981,-80.23885,906719.68752,511848.93737
-8929133.1535,2968113.2474,7,VIZCAYA,3201 SW 1ST AVE,0,91,1,0,25.7497,-80.21177,915613.87493,515493.28106
-8927318.3812,2969858.9041,8,BRICKELL,1001 SW 1ST AVE,0,0,0,0,25.76382,-80.19546,920948.68751,520659.09379
-8929496.9242,2973054.6906,9,CIVIC CENTER,1501 NW 12TH AVE,0,0,0,0,25.78967,-80.21503,914451.68747,530016.43735
-8929515.9021,2973812.4908,10,SANTA CLARA,2050 NW 12TH AVE,0,104,1,1,25.7958,-80.2152,914382.3124,532243.87511
-8929544.703,2975406.782,11,ALLAPATTAH,3501 NW 12TH AVE,0,66,1,0,25.80869,-80.21546,914269.25006,536929.87512
-8931157.4707,2975870.8832,12,EARLINGTON HEIGHTS,2100 NW 41ST ST,93,0,1,0,25.81245,-80.22995,909494.81252,538265.87505
-8932355.4922,2977060.2084,13,BROWNSVILLE,5200 NW 27TH AVE,0,428,1,1,25.82207,-80.24072,905934.06262,541740.93727
-8932409.2904,2978336.6207,14,"DR. MARTIN LUTHER KING, JR. PLAZA",6205 NW 27TH AVE,100,0,1,1,25.83239,-80.24121,905753.4375,545491.31221
-8933253.5424,2979995.5975,15,NORTHSIDE,3150 NW 79TH ST,0,294,1,1,25.8458,-80.24878,903230.9373,550352.12496
-8934479.5444,2979950.8009,16,TRI-RAIL,1125 E 25TH ST,0,50,0,0,25.84544,-80.25979,899609.43752,550199.93749
-8936621.3263,2979423.7688,17,HIALEAH,125 E 21ST ST,0,315,0,0,25.84118,-80.27904,893290.00002,548616.06266
-8939129.972,2979254.3275,18,OKEECHOBEE,2005 W OKEECHOBEE RD,939,142,0,1,25.83981,-80.30157,885880.56245,548078.1249
-8928663.1974,2972422.1888,19,CULMER,701 NW 11TH ST,0,0,1,0,25.78456,-80.20754,916927.31263,528171.68755
-8927389.104,2971369.2016,20,GOVERNMENT CENTER,101 NW 1ST ST,0,0,1,0,25.77604,-80.1961,920712.50014,525098.62505
-8927409.5722,2971981.8824,21,HISTORIC OVERTOWN/LYRIC THEATRE,100 NW 6TH ST,0,35,0,0,25.78099,-80.19628,920640.99999,526899.62483
-8941598.6193,2979698.9395,22,PALMETTO,7701 NW 79TH AVE,0,700,1,0,25.8434,-80.32374,878579.87509,549346.49979
-8934432.3241,2974011.1145,23,MIAMI INTERNATIONAL AIRPORT,3800 NW 25TH ST,0,0,0,0,25.79742,-80.25937,899846.698,532748.177
