X,Y,FID,NAME,ADDRESS,ARTENROUTE,DTWN_LOOP,OMNI_LOOP,BRICK_LOOP,OPEN_,MRAIL_XFER,POLYGONID,SCALE,ANGLE,LAT,LON,POINT_X,POINT_Y
-8926700.8795,2971560.2951,1,COLLEGE/BAYSIDE,225 NE 3RD ST,0,1,1,1,1,0,0,1,1,25.77758,-80.18992,922743.62508,525672.93743
-8926693.4682,2971330.5872,2,FIRST STREET,225 NE 1ST ST,0,1,1,1,1,0,0,1,1,25.77573,-80.18986,922769.68744,524997.6875
-8926412.2917,2971005.9459,3,BAYFRONT PARK,150 S BISCAYNE BLVD,0,1,1,1,1,0,0,1,1,25.7731,-80.18732,923606.81241,524048.28125
-8926863.652,2970853.3645,4,KNIGHT CENTER,100 SE 2ND ST,0,1,1,1,1,0,0,1,1,25.77187,-80.19138,922275.18747,523591.43748
-8927109.0898,2971041.944,5,MIAMI AVENUE,90 S MIAMI AVE,0,1,0,0,1,0,0,1,1,25.77339,-80.19358,921546.18744,524141.46881
-8927100.8377,2970872.9471,6,THIRD STREET,250 S MIAMI AVE,0,0,1,1,1,0,0,1,1,25.77202,-80.19351,921573.62493,523644.71872
-8927388.6424,2971347.7079,7,GOVERNMENT CENTER,101 NW 1ST ST,0,1,1,1,1,1,0,1,1,25.77586,-80.19609,920714.25002,525035.43753
-8927304.8414,2971712.5421,8,"WILKIE D. FERGUSON, JR.",90 NW 5TH ST,0,1,1,1,1,0,0,1,1,25.77882,-80.19534,920955.43755,526109.62499
-8926942.4689,2971726.234,9,COLLEGE NORTH,100 NE 5TH ST,0,1,1,1,1,0,0,1,1,25.77893,-80.19209,922026.4375,526156.43756
-8927060.372,2973018.1139,10,SCHOOL BOARD,50 NE 15TH ST,1,0,1,0,1,0,0,1,1,25.78938,-80.19315,921654.62501,529952.43753
-8926487.4398,2973028.0729,11,ADRIENNE ARSHT CENTER,1455 BISCAYNE BLVD,1,0,1,0,1,0,0,1,1,25.78946,-80.188,923347.99997,529992.12506
-8926480.3754,2972590.6238,12,MUSEUM PARK,1191 BISCAYNE BLVD,0,0,1,0,0,0,0,1,1,25.78592,-80.18793,923376.81242,528706.18744
-8926798.2551,2972460.5323,13,ELEVENTH STREET,1098 NE 2ND AVE,1,0,1,0,1,0,0,1,1,25.78487,-80.1908,922439.49997,528317.93749
-8926781.8989,2972165.0889,14,PARK WEST,800 NE 2ND AVE,1,0,1,0,1,0,0,1,1,25.78248,-80.19064,922493.18751,527449.62498
-8926773.4424,2971926.3095,15,FREEDOM TOWER,600 NE 2ND AVE,1,0,1,0,1,0,0,1,1,25.78054,-80.19057,922522.49993,526747.74998
-8926995.0838,2970752.7721,16,RIVERWALK,88 SE 4TH ST,1,0,0,1,1,0,0,1,1,25.77105,-80.19256,921888.43743,523293.28125
-8926960.6087,2970519.6048,17,FIFTH STREET,35 SE 5TH ST,0,0,0,1,1,0,0,1,1,25.76917,-80.19225,921994.56249,522608.31259
-8926946.4699,2970238.0934,18,EIGHTH STREET,59 SE 8TH ST,1,0,0,1,1,0,0,1,1,25.76689,-80.19212,922041.43744,521780.81249
-8926995.3516,2969883.1572,19,TENTH STREET/PROMENADE,1011 SE 1ST AVE,0,0,0,1,1,0,0,1,1,25.76402,-80.19256,921903.31242,520736.24992
-8927295.9534,2969716.0089,20,BRICKELL,1200 SW 1ST AVE,1,0,0,1,1,1,0,1,1,25.76266,-80.19526,921017.56252,520239.31249
-8927031.0228,2969433.8745,21,FINANCIAL DISTRICT,50 SE 14TH ST,0,0,0,1,1,0,0,1,1,25.76038,-80.19288,921805.93744,519414.46883
